Model type ,Model num,b4,b6,b8,b10,b12
SC - NH,11,3248,3257,3245.939,3264.992,3225.951
FR - NH ,21,2558,2545,2532.218,2529.779,2539.48
FCR - NH,31,1851,1938,1929.776,1847.729,1940.288
FR -FCR - NH,41,2550,3078,3121.911,3101.803,3129.661
SC - FR - NH,51,3253,3258,3269.278,3252.219,3282.521
SC - FCR - NH ,61,3302,3285,3255.652,3255.652,3257.756
SC - H,12,3722,3752,3984.405,3955.93,3986.85
FR - H ,22,3431,3314,3433.065,3450.957,3407.213
FCR - H,32,2264,2516,2618.299,2614.104,2605.262
FR -FCR - H,42,3675,4005,4005.626,4130.931,4150.404
SC - FR - H,52,2467,3694,4028.02,3800.998,4017.744
SC - FCR - H ,62,3109,3298,3768.371,3770.723,3737.823
